probe,left_endpoint,right_endpoint,axis_index,category,case_source
parent,kin,stranger,13,family_kinship,probe_sets_category_match_v1
child,kin,stranger,13,family_kinship,probe_sets_category_match_v1
family,lineage,mobility,14,family_kinship,probe_sets_category_match_v1
kinship,lineage,mobility,14,family_kinship,probe_sets_category_match_v1
parent,lineage,mobility,14,family_kinship,probe_sets_category_match_v1
child,lineage,mobility,14,family_kinship,probe_sets_category_match_v1
family,clan,individual,15,family_kinship,probe_sets_category_match_v1
kinship,clan,individual,15,family_kinship,probe_sets_category_match_v1
parent,clan,individual,15,family_kinship,probe_sets_category_match_v1
child,clan,individual,15,family_kinship,probe_sets_category_match_v1
religion,sacred,secular,16,religion_ritual,probe_sets_category_match_v1
temple,sacred,secular,16,religion_ritual,probe_sets_category_match_v1
church,sacred,secular,16,religion_ritual,probe_sets_category_match_v1
mosque,sacred,secular,16,religion_ritual,probe_sets_category_match_v1
religion,ritual,routine,17,religion_ritual,probe_sets_category_match_v1
temple,ritual,routine,17,religion_ritual,probe_sets_category_match_v1
church,ritual,routine,17,religion_ritual,probe_sets_category_match_v1
mosque,ritual,routine,17,religion_ritual,probe_sets_category_match_v1
religion,prayer,reason,18,religion_ritual,probe_sets_category_match_v1
temple,prayer,reason,18,religion_ritual,probe_sets_category_match_v1
church,prayer,reason,18,religion_ritual,probe_sets_category_match_v1
mosque,prayer,reason,18,religion_ritual,probe_sets_category_match_v1
religion,pilgrimage,tourism,19,religion_ritual,probe_sets_category_match_v1
temple,pilgrimage,tourism,19,religion_ritual,probe_sets_category_match_v1
church,pilgrimage,tourism,19,religion_ritual,probe_sets_category_match_v1
mosque,pilgrimage,tourism,19,religion_ritual,probe_sets_category_match_v1
religion,taboo,permissive,20,religion_ritual,probe_sets_category_match_v1
temple,taboo,permissive,20,religion_ritual,probe_sets_category_match_v1
church,taboo,permissive,20,religion_ritual,probe_sets_category_match_v1
mosque,taboo,permissive,20,religion_ritual,probe_sets_category_match_v1
republic,democracy,monarchy,21,governance_law,probe_sets_category_match_v1
unitary,democracy,monarchy,21,governance_law,probe_sets_category_match_v1
parliament,democracy,monarchy,21,governance_law,probe_sets_category_match_v1
senate,democracy,monarchy,21,governance_law,probe_sets_category_match_v1
republic,federal,centralized,22,governance_law,probe_sets_category_match_v1
unitary,federal,centralized,22,governance_law,probe_sets_category_match_v1
parliament,federal,centralized,22,governance_law,probe_sets_category_match_v1
senate,federal,centralized,22,governance_law,probe_sets_category_match_v1
republic,customary,codified,23,governance_law,probe_sets_category_match_v1
unitary,customary,codified,23,governance_law,probe_sets_category_match_v1
parliament,customary,codified,23,governance_law,probe_sets_category_match_v1
senate,customary,codified,23,governance_law,probe_sets_category_match_v1
republic,authority,deliberation,24,governance_law,probe_sets_category_match_v1
unitary,authority,deliberation,24,governance_law,probe_sets_category_match_v1
parliament,authority,deliberation,24,governance_law,probe_sets_category_match_v1
senate,authority,deliberation,24,governance_law,probe_sets_category_match_v1
republic,patronage,meritocracy,25,governance_law,probe_sets_category_match_v1
unitary,patronage,meritocracy,25,governance_law,probe_sets_category_match_v1
parliament,patronage,meritocracy,25,governance_law,probe_sets_category_match_v1
senate,patronage,meritocracy,25,governance_law,probe_sets_category_match_v1
noodle,rice,bread,26,food_cuisine,probe_sets_category_match_v1
dumpling,rice,bread,26,food_cuisine,probe_sets_category_match_v1
curry,rice,bread,26,food_cuisine,probe_sets_category_match_v1
spice,rice,bread,26,food_cuisine,probe_sets_category_match_v1
noodle,tea,coffee,27,food_cuisine,probe_sets_category_match_v1
dumpling,tea,coffee,27,food_cuisine,probe_sets_category_match_v1
curry,tea,coffee,27,food_cuisine,probe_sets_category_match_v1
spice,tea,coffee,27,food_cuisine,probe_sets_category_match_v1
noodle,spicy,mild,28,food_cuisine,probe_sets_category_match_v1
dumpling,spicy,mild,28,food_cuisine,probe_sets_category_match_v1
curry,spicy,mild,28,food_cuisine,probe_sets_category_match_v1
spice,spicy,mild,28,food_cuisine,probe_sets_category_match_v1
noodle,vegetarian,meat,29,food_cuisine,probe_sets_category_match_v1
dumpling,vegetarian,meat,29,food_cuisine,probe_sets_category_match_v1
curry,vegetarian,meat,29,food_cuisine,probe_sets_category_match_v1
spice,vegetarian,meat,29,food_cuisine,probe_sets_category_match_v1
noodle,fermented,fresh,30,food_cuisine,probe_sets_category_match_v1
dumpling,fermented,fresh,30,food_cuisine,probe_sets_category_match_v1
curry,fermented,fresh,30,food_cuisine,probe_sets_category_match_v1
spice,fermented,fresh,30,food_cuisine,probe_sets_category_match_v1
festival,fasting,feasting,31,festivals_holidays,probe_sets_category_match_v1
holiday,fasting,feasting,31,festivals_holidays,probe_sets_category_match_v1
new year,fasting,feasting,31,festivals_holidays,probe_sets_category_match_v1
easter,fasting,feasting,31,festivals_holidays,probe_sets_category_match_v1
festival,lunar,solar,32,festivals_holidays,probe_sets_category_match_v1
holiday,lunar,solar,32,festivals_holidays,probe_sets_category_match_v1
new year,lunar,solar,32,festivals_holidays,probe_sets_category_match_v1
easter,lunar,solar,32,festivals_holidays,probe_sets_category_match_v1
festival,mourning,celebration,33,festivals_holidays,probe_sets_category_match_v1
holiday,mourning,celebration,33,festivals_holidays,probe_sets_category_match_v1
new year,mourning,celebration,33,festivals_holidays,probe_sets_category_match_v1
easter,mourning,celebration,33,festivals_holidays,probe_sets_category_match_v1
festival,ancestor,novelty,34,festivals_holidays,probe_sets_category_match_v1
holiday,ancestor,novelty,34,festivals_holidays,probe_sets_category_match_v1
new year,ancestor,novelty,34,festivals_holidays,probe_sets_category_match_v1
easter,ancestor,novelty,34,festivals_holidays,probe_sets_category_match_v1
festival,pilgrim,spectator,35,festivals_holidays,probe_sets_category_match_v1
holiday,pilgrim,spectator,35,festivals_holidays,probe_sets_category_match_v1
new year,pilgrim,spectator,35,festivals_holidays,probe_sets_category_match_v1
easter,pilgrim,spectator,35,festivals_holidays,probe_sets_category_match_v1
dress,veiled,unveiled,36,clothing_appearance,probe_sets_category_match_v1
clothing,veiled,unveiled,36,clothing_appearance,probe_sets_category_match_v1
garment,veiled,unveiled,36,clothing_appearance,probe_sets_category_match_v1
veil,veiled,unveiled,36,clothing_appearance,probe_sets_category_match_v1
dress,formal,casual,37,clothing_appearance,probe_sets_category_match_v1
clothing,formal,casual,37,clothing_appearance,probe_sets_category_match_v1
garment,formal,casual,37,clothing_appearance,probe_sets_category_match_v1
veil,formal,casual,37,clothing_appearance,probe_sets_category_match_v1
dress,ornate,plain,38,clothing_appearance,probe_sets_category_match_v1
clothing,ornate,plain,38,clothing_appearance,probe_sets_category_match_v1
garment,ornate,plain,38,clothing_appearance,probe_sets_category_match_v1
veil,ornate,plain,38,clothing_appearance,probe_sets_category_match_v1
dress,modest,revealing,39,clothing_appearance,probe_sets_category_match_v1
clothing,modest,revealing,39,clothing_appearance,probe_sets_category_match_v1
garment,modest,revealing,39,clothing_appearance,probe_sets_category_match_v1
veil,modest,revealing,39,clothing_appearance,probe_sets_category_match_v1
dress,uniform,personalized,40,clothing_appearance,probe_sets_category_match_v1
clothing,uniform,personalized,40,clothing_appearance,probe_sets_category_match_v1
garment,uniform,personalized,40,clothing_appearance,probe_sets_category_match_v1
veil,uniform,personalized,40,clothing_appearance,probe_sets_category_match_v1
blue,white,red,41,symbols_colors,probe_sets_category_match_v1
green,white,red,41,symbols_colors,probe_sets_category_match_v1
yellow,white,red,41,symbols_colors,probe_sets_category_match_v1
purple,white,red,41,symbols_colors,probe_sets_category_match_v1
blue,black,gold,42,symbols_colors,probe_sets_category_match_v1
green,black,gold,42,symbols_colors,probe_sets_category_match_v1
yellow,black,gold,42,symbols_colors,probe_sets_category_match_v1
purple,black,gold,42,symbols_colors,probe_sets_category_match_v1
blue,dragon,eagle,43,symbols_colors,probe_sets_category_match_v1
green,dragon,eagle,43,symbols_colors,probe_sets_category_match_v1
yellow,dragon,eagle,43,symbols_colors,probe_sets_category_match_v1
purple,dragon,eagle,43,symbols_colors,probe_sets_category_match_v1
blue,lotus,rose,44,symbols_colors,probe_sets_category_match_v1
green,lotus,rose,44,symbols_colors,probe_sets_category_match_v1
yellow,lotus,rose,44,symbols_colors,probe_sets_category_match_v1
purple,lotus,rose,44,symbols_colors,probe_sets_category_match_v1
blue,script,image,45,symbols_colors,probe_sets_category_match_v1
green,script,image,45,symbols_colors,probe_sets_category_match_v1
yellow,script,image,45,symbols_colors,probe_sets_category_match_v1
purple,script,image,45,symbols_colors,probe_sets_category_match_v1
identity,local,global,46,social_identity,probe_sets_category_match_v1
ethnicity,local,global,46,social_identity,probe_sets_category_match_v1
immigrant,local,global,46,social_identity,probe_sets_category_match_v1
refugee,local,global,46,social_identity,probe_sets_category_match_v1
identity,indigenous,diaspora,47,social_identity,probe_sets_category_match_v1
ethnicity,indigenous,diaspora,47,social_identity,probe_sets_category_match_v1
immigrant,indigenous,diaspora,47,social_identity,probe_sets_category_match_v1
refugee,indigenous,diaspora,47,social_identity,probe_sets_category_match_v1
identity,assimilation,pluralism,48,social_identity,probe_sets_category_match_v1
ethnicity,assimilation,pluralism,48,social_identity,probe_sets_category_match_v1
immigrant,assimilation,pluralism,48,social_identity,probe_sets_category_match_v1
refugee,assimilation,pluralism,48,social_identity,probe_sets_category_match_v1
identity,majority,minority,49,social_identity,probe_sets_category_match_v1
ethnicity,majority,minority,49,social_identity,probe_sets_category_match_v1
immigrant,majority,minority,49,social_identity,probe_sets_category_match_v1
refugee,majority,minority,49,social_identity,probe_sets_category_match_v1
identity,homeland,migration,50,social_identity,probe_sets_category_match_v1
ethnicity,homeland,migration,50,social_identity,probe_sets_category_match_v1
immigrant,homeland,migration,50,social_identity,probe_sets_category_match_v1
refugee,homeland,migration,50,social_identity,probe_sets_category_match_v1
