source_term_en,target_lang,target_lang_nllb,translated_term,back_translated_en,back_similarity,comet_kiwi_score,qe_tier,needs_manual_review,duplicate_translation
discipline,ukr,ukr_Cyrl,дисципліна,Discipline,1.0,0.8314772248268127,high,0,0
self control,ukr,ukr_Cyrl,самоконтроль,self-control,0.9166666666666666,0.8598700761795044,high,0,0
deference,ukr,ukr_Cyrl,поваги,respect,0.375,0.6657457947731018,medium,1,0
civic individualism,ukr,ukr_Cyrl,громадянський індивідуалізм,civic individualism,1.0,0.879969596862793,high,0,0
civic collectivism,ukr,ukr_Cyrl,громадянський колективізм,civic collectivism,1.0,0.8782360553741455,high,0,0
civic hierarchy,ukr,ukr_Cyrl,громадянська ієрархія,the civic hierarchy,0.8823529411764706,0.8819675445556641,high,0,0
civic equality,ukr,ukr_Cyrl,громадянська рівність,civil equality,0.9285714285714286,0.8929617404937744,high,0,0
civic authority,ukr,ukr_Cyrl,громадянська влада,civil authority,0.9333333333333333,0.8795570135116577,high,0,0
civic autonomy,ukr,ukr_Cyrl,громадянська автономія,civil autonomy,0.9285714285714286,0.8818926811218262,high,0,0
civic obedience,ukr,ukr_Cyrl,громадянська послушаність,civic obedience,1.0,0.8637004494667053,high,0,0
civic duty,ukr,ukr_Cyrl,громадянський обов'язок,civic duty,1.0,0.8823278546333313,high,0,0
civic freedom,ukr,ukr_Cyrl,громадянська свобода,civil liberties,0.5,0.8869267702102661,high,1,0
civic honor,ukr,ukr_Cyrl,громадянська честь,civic honour,0.9565217391304348,0.8769878149032593,high,0,0
civic shame,ukr,ukr_Cyrl,громадянська сорома,civil straw,0.6363636363636364,0.8712996244430542,high,0,0
civic virtue,ukr,ukr_Cyrl,громадянська чеснота,civic decency,0.56,0.8755979537963867,high,0,0
civic vice,ukr,ukr_Cyrl,громадянські пороки,civic vices,0.9523809523809523,0.856381893157959,high,0,0
civic respect,ukr,ukr_Cyrl,громадянська повага,civic respect,1.0,0.8806159496307373,high,1,1
civic modesty,ukr,ukr_Cyrl,громадянська скромність,civic modesty,1.0,0.8705390095710754,high,0,0
civic purity,ukr,ukr_Cyrl,громадянська чистота,civil cleansing,0.4444444444444444,0.8745951652526855,high,1,0
civic pollution,ukr,ukr_Cyrl,громадянське забруднення,civil pollution,0.9333333333333333,0.8675117492675781,high,0,0
civic face,ukr,ukr_Cyrl,громадянське обличчя,a civic face,0.9090909090909091,0.8705620765686035,high,0,0
civic reputation,ukr,ukr_Cyrl,громадянська репутація,public reputation,0.7878787878787878,0.876476526260376,high,0,0
civic hospitality,ukr,ukr_Cyrl,громадянська гостинність,civic hospitality,1.0,0.8780539035797119,high,0,0
civic charity,ukr,ukr_Cyrl,громадянська благодійність,civic charity,1.0,0.8728865385055542,high,0,0
civic cooperation,ukr,ukr_Cyrl,громадянське співробітництво,civil cooperation,0.9411764705882353,0.8860882520675659,high,0,0
civic competition,ukr,ukr_Cyrl,громадянська конкуренція,civil competition,0.9411764705882353,0.8782451152801514,high,0,0
civic fairness,ukr,ukr_Cyrl,громадянська справедливість,civil justice,0.4444444444444444,0.8855420351028442,high,1,1
civic justice,ukr,ukr_Cyrl,громадянська справедливість,civil justice,0.9230769230769231,0.8837531805038452,high,1,1
civic taboo,ukr,ukr_Cyrl,громадянський табу,the civil taboo,0.7692307692307693,0.7577743530273438,medium,0,0
civic tradition,ukr,ukr_Cyrl,громадянська традиція,civic tradition,1.0,0.8853880167007446,high,0,0
civic modernity,ukr,ukr_Cyrl,громадянська модернізм,civic modernism,0.8666666666666667,0.7401856184005737,medium,0,0
civic sacred,ukr,ukr_Cyrl,громадянське свято,a public holiday,0.2857142857142857,0.727726936340332,medium,1,0
civic secular,ukr,ukr_Cyrl,громадянський світський,civil and secular,0.8,0.6081503629684448,medium,0,0
civic conformity,ukr,ukr_Cyrl,громадянська відповідність,civil liability,0.5161290322580645,0.8656499981880188,high,1,0
civic dissent,ukr,ukr_Cyrl,громадянські розбіжності,civil disagreements,0.6875,0.8882955312728882,high,0,0
civic restraint,ukr,ukr_Cyrl,громадянська стриманість,civic restraint,1.0,0.8755442500114441,high,0,0
civic indulgence,ukr,ukr_Cyrl,грамадський припущення,the social assumption,0.21621621621621623,0.4672446548938751,low,1,0
civic solidarity,ukr,ukr_Cyrl,громадянська солідарність,civil solidarity,0.9375,0.8893208503723145,high,0,0
civic merit,ukr,ukr_Cyrl,громадянські заслуги,civil service,0.6666666666666666,0.8658092021942139,high,0,0
civic trust,ukr,ukr_Cyrl,грамадський довіра,public confidence,0.21428571428571427,0.7313321232795715,medium,1,0
civic loyalty,ukr,ukr_Cyrl,громадянська лояльність,civic loyalty,1.0,0.8829153776168823,high,0,0
civic integrity,ukr,ukr_Cyrl,громадянська цілісність,civil integrity,0.9333333333333333,0.8697491884231567,high,0,0
civic discretion,ukr,ukr_Cyrl,громадянська дискреція,civil discretion,0.9375,0.8721967935562134,high,0,0
civic humility,ukr,ukr_Cyrl,громадянське смиріння,civic humility,1.0,0.8724895715713501,high,0,0
civic discipline,ukr,ukr_Cyrl,громадянська дисципліна,civic discipline,1.0,0.8807477355003357,high,0,0
civic self control,ukr,ukr_Cyrl,громадянський самоконтроль,civic self-control,0.9444444444444444,0.877126932144165,high,0,0
civic deference,ukr,ukr_Cyrl,громадянська повага,civic respect,0.6428571428571429,0.8646659255027771,high,1,1
moral individualism,ukr,ukr_Cyrl,моральний індивідуалізм,moral individualism,1.0,0.86605304479599,high,0,0
moral collectivism,ukr,ukr_Cyrl,моральний колективізм,moral collectivism,1.0,0.8746386170387268,high,0,0
moral hierarchy,ukr,ukr_Cyrl,моральна ієрархія,moral hierarchy,1.0,0.8707984089851379,high,0,0
moral equality,ukr,ukr_Cyrl,моральна рівність,moral equality,1.0,0.8755649328231812,high,0,0
moral authority,ukr,ukr_Cyrl,моральний авторитет,moral authority,1.0,0.8514410257339478,high,0,0
moral autonomy,ukr,ukr_Cyrl,моральна автономія,moral autonomy,1.0,0.8627354502677917,high,0,0
moral obedience,ukr,ukr_Cyrl,моральна послушаність,moral obedience,1.0,0.8652237057685852,high,0,0
moral duty,ukr,ukr_Cyrl,моральний обов'язок,moral obligation,0.5384615384615384,0.8677659034729004,high,1,0
moral freedom,ukr,ukr_Cyrl,моральна свобода,moral freedom,1.0,0.8824474215507507,high,0,0
moral honor,ukr,ukr_Cyrl,моральна честь,moral honor,1.0,0.861420750617981,high,0,0
moral shame,ukr,ukr_Cyrl,моральний сором,moral shame,1.0,0.8349862098693848,high,0,0
moral virtue,ukr,ukr_Cyrl,моральна доброта,moral goodness,0.5384615384615384,0.8593956232070923,high,1,0
family,ukr,ukr_Cyrl,сім'я,family,1.0,0.8650825023651123,high,0,0
kinship,ukr,ukr_Cyrl,родичі,relatives,0.25,0.8315763473510742,high,1,0
mother,ukr,ukr_Cyrl,матір'я,mother,1.0,0.8422127962112427,high,0,0
father,ukr,ukr_Cyrl,батько,father,1.0,0.8250589370727539,high,1,1
parent,ukr,ukr_Cyrl,батько,father,0.3333333333333333,0.8109232187271118,high,1,1
child,ukr,ukr_Cyrl,дитина,the child,0.7142857142857143,0.8570572733879089,high,0,0
daughter,ukr,ukr_Cyrl,донька,daughter,1.0,0.8592413067817688,high,0,0
son,ukr,ukr_Cyrl,сину,My son.,0.6,0.7904203534126282,medium,0,0
uncle,ukr,ukr_Cyrl,дядько,My uncle.,0.7142857142857143,0.8469069004058838,high,1,1
aunt,ukr,ukr_Cyrl,Тетя,Aunt,1.0,0.8394914865493774,high,0,0
cousin,ukr,ukr_Cyrl,кузен,cousin,1.0,0.8490790128707886,high,0,0
grandmother,ukr,ukr_Cyrl,бабуся,Grandmother,1.0,0.837213397026062,high,1,1
grandfather,ukr,ukr_Cyrl,дідусь,I'm going to be a grandfather.,0.5365853658536586,0.8368086814880371,high,1,0
nephew,ukr,ukr_Cyrl,племінник,Nephew,1.0,0.8581639528274536,high,0,0
niece,ukr,ukr_Cyrl,племінниця,Nephew,0.5454545454545454,0.8453608155250549,high,1,0
ancestor,ukr,ukr_Cyrl,попередник,the predecessor,0.43478260869565216,0.8233609795570374,high,1,0
lineage,ukr,ukr_Cyrl,походження,origin,0.3076923076923077,0.7921484708786011,medium,1,0
clan,ukr,ukr_Cyrl,клана,Clan,1.0,0.8139872550964355,high,0,0
household,ukr,ukr_Cyrl,домогосподарство,household,1.0,0.8133469820022583,high,1,1
joint family,ukr,ukr_Cyrl,спільна сім'я,common family,0.72,0.8286111354827881,high,0,0
nuclear family,ukr,ukr_Cyrl,ядерна сім'я,nuclear family,1.0,0.8595683574676514,high,0,0
marriage,ukr,ukr_Cyrl,шлюбу,marriage,1.0,0.7083498239517212,medium,0,0
wedding,ukr,ukr_Cyrl,весілля,wedding,1.0,0.8414191007614136,high,1,1
bride,ukr,ukr_Cyrl,невеста,the bride,0.7142857142857143,0.8419892191886902,high,0,0
groom,ukr,ukr_Cyrl,жених,the bride,0.14285714285714285,0.7079445123672485,medium,1,0
engagement,ukr,ukr_Cyrl,участі,participation,0.08695652173913043,0.5951505899429321,low,1,0
dowry,ukr,ukr_Cyrl,дота,the date,0.15384615384615385,0.7366611957550049,medium,1,0
bridewealth,ukr,ukr_Cyrl,невеста багатство,bride wealth,0.9565217391304348,0.46118420362472534,low,1,0
inheritance,ukr,ukr_Cyrl,спадщина,inheritance,1.0,0.8399056196212769,high,1,1
widow,ukr,ukr_Cyrl,вдова,widow,1.0,0.8524780869483948,high,1,1
widower,ukr,ukr_Cyrl,вдова,widow,0.8333333333333334,0.8451500535011292,high,1,1
courtship,ukr,ukr_Cyrl,куртованість,coatings,0.47058823529411764,0.46057218313217163,low,1,0
matchmaker,ukr,ukr_Cyrl,союзник,Ally,0.14285714285714285,0.4473709166049957,low,1,0
surname,ukr,ukr_Cyrl,прізвище,first name,0.5882352941176471,0.8408802151679993,high,0,0
patronymic,ukr,ukr_Cyrl,патронімічна,the patronymic,0.8333333333333334,0.7028141021728516,medium,0,0
matronymic,ukr,ukr_Cyrl,матроніміка,Matronymics,0.9523809523809523,0.8270605802536011,high,0,0
firstborn,ukr,ukr_Cyrl,перший народжений,First born,0.9473684210526315,0.7127150297164917,medium,0,0
heir,ukr,ukr_Cyrl,спадкоємець,heir to the throne,0.36363636363636365,0.8257327079772949,high,1,0
filial piety,ukr,ukr_Cyrl,дитяча благочесність,childlike godliness,0.3870967741935484,0.8166847229003906,high,1,0
caregiving,ukr,ukr_Cyrl,опікування,nursing,0.47058823529411764,0.8456567525863647,high,1,0
motherhood,ukr,ukr_Cyrl,материнство,motherhood,1.0,0.8730268478393555,high,0,0
fatherhood,ukr,ukr_Cyrl,батьківство,fatherhood,1.0,0.8626235723495483,high,0,0
in laws,ukr,ukr_Cyrl,в законах,in the law,0.7058823529411765,0.7267578840255737,medium,0,0
brother in law,ukr,ukr_Cyrl,братець-захист,brother-in-law,0.8571428571428571,0.5067431330680847,low,1,0
sister in law,ukr,ukr_Cyrl,сістра-захистка,Sister-in-law,0.8461538461538461,0.5506150126457214,low,1,0
ancestral home,ukr,ukr_Cyrl,родина предків,family of ancestors,0.42424242424242425,0.8543615341186523,high,1,0
household labor,ukr,ukr_Cyrl,домашня робота,Homework,0.43478260869565216,0.8563957214355469,high,1,0
extended family,ukr,ukr_Cyrl,розширена сім'я,extended family,1.0,0.8579546809196472,high,0,0
extended kinship,ukr,ukr_Cyrl,розширеної родині,extended family,0.6451612903225806,0.6643030643463135,medium,0,0
extended mother,ukr,ukr_Cyrl,розтягнута матір'я,A stretched mother,0.6666666666666666,0.45010966062545776,low,1,0
extended father,ukr,ukr_Cyrl,старший батько,elderly father,0.6896551724137931,0.7822885513305664,medium,0,0
extended parent,ukr,ukr_Cyrl,Розширені батьки,Extended Parents,0.967741935483871,0.5635749101638794,low,1,0
extended child,ukr,ukr_Cyrl,Розширені діти,Enlarged Children,0.6451612903225806,0.7134209275245667,medium,0,0
extended daughter,ukr,ukr_Cyrl,вищою донькою,A high-ranking daughter.,0.4878048780487805,0.5253599882125854,low,1,0
extended son,ukr,ukr_Cyrl,старший син,eldest son,0.6363636363636364,0.8069508075714111,high,0,0
extended uncle,ukr,ukr_Cyrl,дядько,My uncle.,0.5217391304347826,0.6485424041748047,medium,1,1
extended aunt,ukr,ukr_Cyrl,витягнута тітка,Aunt pulled out,0.2857142857142857,0.5263614058494568,low,1,0
extended cousin,ukr,ukr_Cyrl,старший двоюрідний брат,older cousin,0.6666666666666666,0.84651118516922,high,0,0
extended grandmother,ukr,ukr_Cyrl,бабуся,Grandmother,0.7096774193548387,0.6773586869239807,medium,1,1
extended grandfather,ukr,ukr_Cyrl,Великий дідусь,Grandfather,0.7096774193548387,0.8123903274536133,high,0,0
extended nephew,ukr,ukr_Cyrl,витягнутий племінник,an extended nephew,0.9090909090909091,0.6181952357292175,medium,0,0
extended niece,ukr,ukr_Cyrl,вищої племінниці,the eldest niece,0.6666666666666666,0.7280188202857971,medium,0,0
extended ancestor,ukr,ukr_Cyrl,розширеного предка,extended ancestor,1.0,0.6410113573074341,medium,0,0
extended lineage,ukr,ukr_Cyrl,розширеної лінії,extended line,0.896551724137931,0.6880728006362915,medium,0,0
extended clan,ukr,ukr_Cyrl,розширеного клану,extended clan,1.0,0.7086436748504639,medium,0,0
extended household,ukr,ukr_Cyrl,розширені домогосподарства,expanded households,0.8648648648648649,0.7428380250930786,medium,0,0
extended joint family,ukr,ukr_Cyrl,розширена спільна сім'я,expanded common family,0.7441860465116279,0.8465099334716797,high,0,0
extended nuclear family,ukr,ukr_Cyrl,розширена ядерна сім'я,the expanded nuclear family,0.84,0.8429515361785889,high,0,0
extended marriage,ukr,ukr_Cyrl,тривалий шлюб,a long marriage,0.625,0.8197693228721619,high,0,0
extended wedding,ukr,ukr_Cyrl,розповсюджені весілля,widespread weddings,0.6285714285714286,0.5469420552253723,low,1,0
extended bride,ukr,ukr_Cyrl,розтягнута наречена,extended bride,1.0,0.39622145891189575,low,1,0
extended groom,ukr,ukr_Cyrl,розтягнутий наречений,The extended bridegroom,0.7567567567567568,0.3449692130088806,low,1,0
extended engagement,ukr,ukr_Cyrl,розширення участі,expanding participation,0.38095238095238093,0.7278647422790527,medium,1,0
extended dowry,ukr,ukr_Cyrl,розширеної доти,Extended tooth,0.7142857142857143,0.5992570519447327,low,1,0
extended bridewealth,ukr,ukr_Cyrl,розповсюдженої подружжньої багатства,widespread marital wealth,0.4,0.44892656803131104,low,1,0
extended inheritance,ukr,ukr_Cyrl,розширеної спадщини,expanded heritage,0.7567567567567568,0.6475145816802979,medium,0,0
extended widow,ukr,ukr_Cyrl,розтягнута вдова,a long-suffering widow,0.4444444444444444,0.5111544132232666,low,1,0
extended widower,ukr,ukr_Cyrl,розтягнутий вдовець,a long-term widower,0.5714285714285714,0.45844364166259766,low,1,0
extended courtship,ukr,ukr_Cyrl,продовження куртованості,prolongation of curvature,0.32558139534883723,0.43038931488990784,low,1,0
extended matchmaker,ukr,ukr_Cyrl,Розширені шлюбниці,Widespread Marriage,0.42105263157894735,0.3941723108291626,low,1,0
extended surname,ukr,ukr_Cyrl,розширеної прізвища,extended family name,0.7222222222222222,0.6108039617538452,medium,0,0
extended patronymic,ukr,ukr_Cyrl,розширені патроніми,expanded by cartridges,0.5365853658536586,0.6529483199119568,medium,1,0
extended matronymic,ukr,ukr_Cyrl,розширена матроніміка,extended matronymics,0.9743589743589743,0.8631408214569092,high,0,0
extended firstborn,ukr,ukr_Cyrl,Розширені первонароджені,Expanded Firstborn,0.8888888888888888,0.5549716353416443,low,1,0
extended heir,ukr,ukr_Cyrl,розширеного спадкоємця,the extended heir,0.8666666666666667,0.6505769491195679,medium,0,0
extended filial piety,ukr,ukr_Cyrl,розширеної дітньої благочесності,extended childlike godliness,0.6122448979591837,0.6379111409187317,medium,0,0
extended caregiving,ukr,ukr_Cyrl,продовження догляду,continuation of care,0.358974358974359,0.8035156726837158,high,1,0
extended motherhood,ukr,ukr_Cyrl,продовження материнства,continuation of motherhood,0.5777777777777777,0.792513906955719,medium,0,0
extended fatherhood,ukr,ukr_Cyrl,продовження батьківства,continuation of parenting,0.18181818181818182,0.6944911479949951,medium,1,0
extended in laws,ukr,ukr_Cyrl,розширено законодавством,expanded by legislation,0.5128205128205128,0.7524360418319702,medium,1,0
extended brother in law,ukr,ukr_Cyrl,старший брат-захист,Elder brother protector,0.5217391304347826,0.4590355455875397,low,1,0
extended sister in law,ukr,ukr_Cyrl,вищої сестри в законах,Senior sister in law,0.7619047619047619,0.4557369649410248,low,1,0
extended ancestral home,ukr,ukr_Cyrl,розширений дім предків,extended ancestral home,1.0,0.8294123411178589,high,0,0
extended household labor,ukr,ukr_Cyrl,розширеної домашньої праці,extended homework,0.6829268292682927,0.6933071613311768,medium,0,0
nuclear kinship,ukr,ukr_Cyrl,ядерна родичість,nuclear kinship,1.0,0.8699919581413269,high,0,0
nuclear mother,ukr,ukr_Cyrl,ядерна мати,nuclear mother,1.0,0.8586530685424805,high,1,1
nuclear father,ukr,ukr_Cyrl,ядерний батько,the nuclear father,0.875,0.861176609992981,high,0,0
nuclear parent,ukr,ukr_Cyrl,ядерна мати,nuclear mother,0.6428571428571429,0.8488081693649292,high,1,1
nuclear child,ukr,ukr_Cyrl,ядерна дитина,nuclear child,1.0,0.8831014037132263,high,0,0
nuclear daughter,ukr,ukr_Cyrl,ядерна донька,Nuclear daughter,1.0,0.813011109828949,high,0,0
religion,ukr,ukr_Cyrl,релігія,religion,1.0,0.8759235143661499,high,0,0
ritual,ukr,ukr_Cyrl,ритуал,Ritual,1.0,0.8329402804374695,high,0,0
prayer,ukr,ukr_Cyrl,молитва,prayer,1.0,0.8560694456100464,high,0,0
temple,ukr,ukr_Cyrl,храму,the temple,0.75,0.696732223033905,medium,0,0
church,ukr,ukr_Cyrl,церква,church,1.0,0.8609045147895813,high,0,0
mosque,ukr,ukr_Cyrl,мечеть,the mosque,0.75,0.8561530113220215,high,0,0
synagogue,ukr,ukr_Cyrl,синагога,the synagogue,0.8181818181818182,0.8658079504966736,high,0,0
shrine,ukr,ukr_Cyrl,святилище,the sanctuary,0.21052631578947367,0.8478271961212158,high,1,0
pilgrimage,ukr,ukr_Cyrl,паломництво,pilgrimage,1.0,0.8707865476608276,high,0,0
scripture,ukr,ukr_Cyrl,Святе Письмо,The Holy Scriptures,0.6428571428571429,0.8416604995727539,high,0,0
monk,ukr,ukr_Cyrl,монах,monk,1.0,0.8548592329025269,high,0,0
priest,ukr,ukr_Cyrl,священик,a priest,0.8571428571428571,0.8507768511772156,high,0,0
imam,ukr,ukr_Cyrl,Імам,I have,0.4,0.8429217338562012,high,1,0
nun,ukr,ukr_Cyrl,монахиня,The nun,0.6,0.8409004211425781,high,0,0
saint,ukr,ukr_Cyrl,святий,The Holy One,0.11764705882352941,0.8153344988822937,high,1,0
martyr,ukr,ukr_Cyrl,мученик,the martyr,0.75,0.8401443958282471,high,0,0
prophet,ukr,ukr_Cyrl,пророка,the prophet,0.7777777777777778,0.7007805109024048,medium,0,0
zakat,ukr,ukr_Cyrl,закат,sunset,0.18181818181818182,0.773195743560791,medium,1,0
tithe,ukr,ukr_Cyrl,десятина,the tenth,0.42857142857142855,0.835495114326477,high,1,0
karma,ukr,ukr_Cyrl,карма,the karma,0.7142857142857143,0.806348979473114,high,0,0
altar,ukr,ukr_Cyrl,алтарь,the altar,0.7142857142857143,0.8565430641174316,high,0,0
incense,ukr,ukr_Cyrl,інкубатор,the incubator,0.3,0.4591194689273834,low,1,0
rosary,ukr,ukr_Cyrl,розарій,the rosary,0.75,0.8610384464263916,high,0,0
blessing,ukr,ukr_Cyrl,благословення,Blessings,0.9411764705882353,0.8356491327285767,high,0,0
curse,ukr,ukr_Cyrl,прокляття,The curse.,0.6666666666666666,0.7933223247528076,medium,0,0
sabbath,ukr,ukr_Cyrl,суботу,Saturday,0.4,0.7440944910049438,medium,1,0
halal,ukr,ukr_Cyrl,халах,God bless you.,0.10526315789473684,0.5671880841255188,low,1,0
kosher,ukr,ukr_Cyrl,кошер,coshers,0.7692307692307693,0.5923274755477905,low,1,0
fasting,ukr,ukr_Cyrl,голодування,hunger,0.3076923076923077,0.8647054433822632,high,1,0
sacrifice,ukr,ukr_Cyrl,жертвоприношення,offerings,0.2222222222222222,0.8388383984565735,high,1,0
monastery,ukr,ukr_Cyrl,монастир,monastery,1.0,0.8599392175674438,high,1,1
convent,ukr,ukr_Cyrl,монастир,monastery,0.375,0.8595584630966187,high,1,1
abbey,ukr,ukr_Cyrl,абатство,Abbey,1.0,0.8464932441711426,high,0,0
minaret,ukr,ukr_Cyrl,мінарет,Minaret,1.0,0.8621326684951782,high,0,0
pagoda,ukr,ukr_Cyrl,пагода,The Pagoda,0.75,0.8429614305496216,high,0,0
stupa,ukr,ukr_Cyrl,ступа,stepping stone,0.3157894736842105,0.5287216901779175,low,1,0
ancestral altar,ukr,ukr_Cyrl,алтарі предків,Altars of the Ancestors,0.3684210526315789,0.8409723043441772,high,1,0
funeral rite,ukr,ukr_Cyrl,похоронний обряд,Funeral service,0.8148148148148148,0.8631041646003723,high,0,0
mourning rite,ukr,ukr_Cyrl,ритуал скорботи,Ritual of mourning,0.5161290322580645,0.8571044206619263,high,1,0
memorial service,ukr,ukr_Cyrl,пам'ятна служба,Memorial service,1.0,0.8271573185920715,high,0,0
ancestor worship,ukr,ukr_Cyrl,поклоніння предкам,worship of ancestors,0.5,0.8678303956985474,high,1,0
tabernacle,ukr,ukr_Cyrl,скинії,the tabernacle,0.8333333333333334,0.4341982305049896,low,1,0
prayer mat,ukr,ukr_Cyrl,молитовний мат,a prayer mat,0.9090909090909091,0.843247652053833,high,0,0
chanting,ukr,ukr_Cyrl,скандали,scandals,0.375,0.40865781903266907,low,1,0
hymn,ukr,ukr_Cyrl,гімн,anthem,0.4,0.819945216178894,high,1,1
sermon,ukr,ukr_Cyrl,проповідь,preaching,0.26666666666666666,0.8641315698623657,high,1,0
liturgy,ukr,ukr_Cyrl,літургія,liturgy,1.0,0.8584465384483337,high,0,0
sacred religion,ukr,ukr_Cyrl,священна релігія,sacred religion,1.0,0.8680250644683838,high,0,0
sacred ritual,ukr,ukr_Cyrl,священний ритуал,sacred ritual,1.0,0.8648900985717773,high,0,0
sacred prayer,ukr,ukr_Cyrl,священна молитва,holy prayer,0.5833333333333334,0.8672286868095398,high,0,0
sacred temple,ukr,ukr_Cyrl,священний храм,holy temple,0.5833333333333334,0.8635848760604858,high,0,0
sacred church,ukr,ukr_Cyrl,священна церква,holy church,0.5833333333333334,0.8667916655540466,high,0,0
sacred mosque,ukr,ukr_Cyrl,священна мечеть,holy mosque,0.5833333333333334,0.8687066435813904,high,0,0
sacred synagogue,ukr,ukr_Cyrl,священна синагога,holy synagogue,0.6666666666666666,0.8708563446998596,high,0,0
sacred shrine,ukr,ukr_Cyrl,священне святилище,holy shrine,0.5833333333333334,0.8253559470176697,high,0,0
sacred pilgrimage,ukr,ukr_Cyrl,священне паломництво,sacred pilgrimage,1.0,0.8624124526977539,high,0,0
sacred scripture,ukr,ukr_Cyrl,священне письмо,Sacred Scripture,1.0,0.8467725515365601,high,0,0
sacred monk,ukr,ukr_Cyrl,священний монах,a holy monk,0.5454545454545454,0.8559598326683044,high,1,0
sacred priest,ukr,ukr_Cyrl,священник,a priest,0.7619047619047619,0.7855343222618103,medium,0,0
sacred imam,ukr,ukr_Cyrl,священний ім'ам,holy name,0.3,0.7860308289527893,medium,1,0
sacred nun,ukr,ukr_Cyrl,священна монахиня,a holy nun,0.5,0.8590905666351318,high,1,0
sacred saint,ukr,ukr_Cyrl,святий святий,holy holy,0.09523809523809523,0.6605923175811768,medium,1,0
sacred martyr,ukr,ukr_Cyrl,святий мученик,the holy martyr,0.5714285714285714,0.8359704613685608,high,0,0
