model_name,tokenizer_class,model_max_length,padding_side,bos_token,eos_token,unk_token,pad_token,vocab_size,tokenizer.json_sha256,tokenizer_config.json_sha256,special_tokens_map.json_sha256,tokenizer.model_sha256,vocab.json_sha256,merges.txt_sha256
en_deu_a,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_deu_b,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_fas_a,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_fas_b,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_fr_a,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_fr_b,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_ind_a,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_ind_b,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_nld_a,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_nld_b,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_ukr_a,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_ukr_b,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_zh_a,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
en_zh_b,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
fas_100m,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
fas_50m,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
fr_100m,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
fr_50m,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
ind_100m,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
ind_50m,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
nld_100m,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
nld_50m,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
ukr_100m,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
ukr_50m,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
zh_100m,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
zh_50m,PreTrainedTokenizerFast,131072,,"{'content': '<|begin_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}","{'content': '<|end_of_text|>', 'lstrip': False, 'normalized': False, 'rstrip': False, 'single_word': False}",,,128256,6b9e4e7fb171f92fd137b777cc2714bf87d11576700a1dcd7a399e7bbe39537b,7c13e62ab7c127945d8b0c26f301f8ea3b9bfdd054b2c431adf577aa827ab4d5,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535,,,
